,id,acc,precision,recall,statistical_parity_difference,equal_opportunity_difference,disparate_impact,error_rate_ratio
85,"['reweighing', 'DisparateImpactRemover', 'PCA3', 'l2']",0.746,0.868,0.792,-0.035,-0.055,0.957,0.047
86,"['reweighing', 'DisparateImpactRemover', 'PCA5', 'l1']",0.747,0.872,0.793,-0.068,-0.094,0.915,0.078
87,"['reweighing', 'DisparateImpactRemover', 'PCA5', 'l2']",0.732,0.849,0.782,-0.074,-0.141,0.901,0.112
88,"['DisparateImpactRemover', 'l1', 'reweighing', 'PCA3']",0.727,0.845,0.78,-0.032,-0.061,0.958,0.069
89,"['DisparateImpactRemover', 'l1', 'reweighing', 'PCA5']",0.735,0.851,0.788,-0.084,-0.107,0.891,0.086
90,"['DisparateImpactRemover', 'l2', 'reweighing', 'PCA3']",0.745,0.852,0.796,-0.064,-0.086,0.916,0.052
91,"['DisparateImpactRemover', 'l2', 'reweighing', 'PCA5']",0.749,0.86,0.796,-0.043,-0.079,0.944,0.064
92,"['DisparateImpactRemover', 'reweighing', 'l1', 'PCA3']",0.741,0.864,0.783,-0.074,-0.121,0.903,0.105
93,"['DisparateImpactRemover', 'reweighing', 'l1', 'PCA5']",0.741,0.836,0.801,-0.046,-0.103,0.938,0.088
94,"['DisparateImpactRemover', 'reweighing', 'l2', 'PCA3']",0.737,0.851,0.791,-0.1,-0.104,0.876,0.042
95,"['DisparateImpactRemover', 'reweighing', 'l2', 'PCA5']",0.734,0.862,0.783,-0.073,-0.08,0.909,0.031
96,"['DisparateImpactRemover', 'reweighing', 'PCA3', 'l1']",0.724,0.844,0.781,-0.104,-0.143,0.866,0.087
97,"['DisparateImpactRemover', 'reweighing', 'PCA3', 'l2']",0.743,0.857,0.799,-0.055,-0.079,0.929,0.033
98,"['DisparateImpactRemover', 'reweighing', 'PCA5', 'l1']",0.747,0.862,0.796,-0.077,-0.101,0.901,0.061
99,"['DisparateImpactRemover', 'reweighing', 'PCA5', 'l2']",0.733,0.85,0.779,-0.063,-0.103,0.918,0.095
